28,"Yakitate!! Japan",7.95,"Comedy, Shounen","Yakitate!! Japan","焼きたて!! ジャぱん","TV",69,"Oct 12, 2004 to Mar 14, 2006","Fall 2004","TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa","Nozomi Entertainment","Sunrise","Manga","24 min. per ep.","PG-13 - Teens 13 or older",609,1666,80183,887,5007,39992,5764,4633,24787,4347,7425,11074,7965,3038,1248,345,118,56,58,bst8.jpg
29,"Zipang",7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",NULL,"ジパング","TV",26,"Oct 8, 2004 to Apr 1, 2005","Fall 2004","Marvelous, TBS","Geneon Entertainment USA","Studio Deen","Manga","24 min. per ep.","PG-13 - Teens 13 or older",1565,3985,16652,152,857,6807,721,599,7668,430,874,1801,1696,662,279,114,38,13,28,bst9.jpg
30,"Neon Genesis Evangelion",8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha","Neon Genesis Evangelion","新世紀エヴァンゲリオン","TV",26,"Oct 4, 1995 to Mar 27, 1996","Fall 1995","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production","Original","24 min. per ep.","PG-13 - Teens 13 or older",208,54,1160651,71308,66549,815938,35566,20358,222240,186797,168056,157596,93532,38385,17571,9686,4408,3263,3714,bst9.jpg
31,"Neon Genesis Evangelion: Death & Rebirth","7.45","Drama, Mecha, Psychological, Sci-Fi","Neon Genesis Evangelion:Death & Rebirth","新世紀エヴァンゲリオン劇場版 シト新生","Movie",1,"15-Mar-97",NULL,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Manga Entertainment","Gainax, Production I.G","Original","1 hr. 44 min.","R - 17+ (violence & profanity)",1742,833,180681,588,1941,146202,1069,961,30508,13516,15245,23683,25396,12694,6313,2636,1042,654,737,bst10.jpg
32,"Neon Genesis Evangelion: The End of Evangelion",8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha","Neon Genesis Evangelion:The End of Evangelion","新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION","Movie",1,"19-Jul-97",NULL,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Manga Entertainment","Gainax, Production I.G","Original","1 hr. 27 min.","R+ - Mild Nudity",102,195,572080,17811,8055,482918,2462,1499,77146,127081,95821,77593,41261,16444,7057,4493,2279,1941,2264,bst11.jpg
33,"Kenpuu Denki Berserk",8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural","Berserk","剣風伝奇ベルセルク","TV",25,"Oct 8, 1997 to Apr 1, 1998","Fall 1997","VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post","OLM","Manga","25 min. per ep.","R+ - Mild Nudity",108,301,432190,18567,19540,276588,12737,9406,113919,58627,65906,60815,29055,9477,3899,1748,671,456,842,bst12.jpg
43,"Koukaku Kidoutai",8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen","Ghost in the Shell","GHOST IN THE SHELL（攻殻機動隊）","Movie",1,"18-Nov-95",NULL,"Bandai Visual, Kodansha","Manga Entertainment","Production I.G","Manga","1 hr. 22 min.","R+ - Mild Nudity",236,265,468279,10362,8152,325682,3404,1927,129114,56237,65298,70881,39446,13704,5107,1842,675,292,486,bst12.jpg
44,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen",8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen","Samurai X:Trust and Betrayal","るろうに剣心―明治剣客浪漫譚―追憶編","OVA",4,"Feb 20, 1999 to Sep 22, 1999",NULL,"Aniplex","ADV Films, Aniplex of America","Studio Deen","Manga","30 min. per ep.","R - 17+ (violence & profanity)",37,637,228484,6111,6359,150183,3124,1836,66982,39845,33317,25800,11782,3575,1393,448,163,106,490,bst10.jpg
45,"Rurouni Kenshin: Meiji Kenkaku Romantan",8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen","Rurouni Kenshin","るろうに剣心 -明治剣客浪漫譚-","TV",94,"Jan 10, 1996 to Sep 8, 1998","Winter 1996","Aniplex, SME Visual Works,Fuji TV","Media Blasters","Gallop, Studio Deen","Manga","25 min. per ep.","PG-13 - Teens 13 or older",220,345,386195,11236,29540,216154,30655,18588,91258,38050,50380,57604,33295,10220,3867,1167,372,176,314,bst10.jpg
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Samurai X:The Motion Picture,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,Movie,1,20-Dec-97,Unknown,"Fuji TV, Sony Music Entertainment","ADV Films, Aniplex of America",Gallop,Manga,1 hr. 31 min.,R - 17+ (violence & profanity),1397,2411,44334,107,547,34481,438,228,8640,2958,3683,6232,6557,2832,1310,426,129,71,59,bst1.jpg
